Date;Peugeot;Renault;Volvo;BMW;Daimler;VW;Toyota;GM;Ford;Fiat Chrysler;Portfolio
12.31.2015;16.285;91.575;78.19;93.504;73.546;130.63;123.220001;33.904794;13.558146;9.298085;663.711026
12.30.2015;16.285;91.565;78.38;94.395;74.304;132.19;124.760002;34.072686;13.615554;9.442648;669.00989
12.29.2015;16.07;90.672;77.65;93.236;73.28;130.04;124.470001;34.082561;13.567714;9.396651;662.464927
12.28.2015;16.375;92.468;78.72;94.385;73.792;131.9;125.769997;34.171446;13.692101;9.344082;670.617626
12.24.2015;16.375;92.468;78.72;94.385;73.792;131.9;127.150002;34.349217;13.739941;9.344082;672.223242
12.23.2015;16.38;91.585;78.72;94.385;73.792;131.9;125.580002;33.865288;13.58685;9.002386;668.796526
12.22.2015;16;89.197;76.83;92.278;72.399;129.02;124.650002;33.410987;13.137144;9.173234;656.095367
12.21.2015;16.115;88.944;76.69;91.464;71.574;127.4;124.389999;33.252965;13.204122;9.015528;652.049614
12.18.2015;16.105;89.236;76.45;92.623;72.797;126.97;124.800003;33.687517;13.376349;9.074668;655.119537
12.17.2015;16.14;88.75;77.51;94.548;74.475;127.8;126.660004;34.704759;13.739941;9.008957;663.336661
12.16.2015;15.8;86.265;75.82;91.455;72.133;122.57;122.169998;33.756651;13.271099;8.870965;642.111713
12.15.2015;15.83;85.411;75.53;90.688;71.574;122.47;122.5;33.610051;13.031894;8.60155;639.246495
12.14.2015;15.33;83.003;74.9;88.016;69.157;120.37;123.669998;33.766422;13.051031;8.936675;630.200126
12.11.2015;15.8;85.275;75.53;90.133;70.749;125.55;124.889999;34.82193;13.357213;9.068096;645.174238
12.10.2015;16.04;90.032;78.23;93.159;73.224;130.14;123.900002;34.646012;13.290236;9.074668;661.735918
12.9.2015;16.04;89.342;79.05;93.035;73.081;128.67;122.519997;34.675331;13.366782;9.081239;658.861349
12.8.2015;16.09;89.498;80.02;93.092;73.498;121.15;125.150002;35.31059;13.510304;9.219231;656.538127
12.7.2015;16.465;91.595;82.44;95.764;75.584;124.13;125.900002;35.427868;13.58685;9.225803;670.118523
12.4.2015;16.375;90.138;81.9;94.021;74.522;123.94;124.720001;34.665559;13.376349;9.100952;662.758861
12.3.2015;16.45;88.77;83.79;94.184;74.342;122.72;125.739998;34.919661;13.64426;9.127236;663.687155
12.2.2015;16.6;92.022;86.73;98.312;78.532;123.99;125.919998;35.437639;13.931306;9.357224;680.832167
12.1.2015;16.685;92.284;87.51;98.934;78.883;127.11;124.419998;35.379003;13.711237;9.363796;684.280034
11.30.2015;16.91;92.721;89.68;98.934;80.324;128.48;124.370003;35.545145;13.902601;9.429506;690.296255
11.27.2015;16.35;91.332;85.96;97.211;78.163;120.96;123.860001;35.515827;13.921737;9.206089;672.479654
11.25.2015;16.415;90.944;85.14;96.588;77.736;121.69;124.019997;35.398549;13.921737;9.140379;670.993662
11.24.2015;16.195;87.886;84.71;95.295;75.347;117.54;123.120003;35.261725;13.921737;9.219231;658.495696
11.23.2015;16.085;88.566;83.55;92.671;74.371;113.19;123.669998;35.515827;13.969579;9.225803;650.814207
11.20.2015;15.98;90.566;86.15;94.289;74.845;107.33;123.889999;35.320362;13.940873;9.094381;651.405615
11.19.2015;16.07;90.303;85.48;94.979;75.129;105.92;124.910004;35.633104;13.835623;8.824967;651.084698
11.18.2015;16.07;89.867;85.33;94.558;74.503;103.38;123.150002;34.411454;13.539009;8.838109;643.646574
11.17.2015;16.105;89.333;87.51;93.332;73.982;99.03;122.040001;34.37236;13.433759;8.884107;638.022227
11.16.2015;16.06;89.109;86.83;93.15;73.707;96.34;121.269997;33.531867;13.31894;8.884107;632.200911
11.13.2015;15.56;87.236;86.44;90.707;72.057;95.18;121.730003;34.294176;13.433759;8.910391;625.548329
11.12.2015;15.825;87.08;86.88;90.545;72.437;94.1;123.230003;34.743743;13.692101;9.166663;627.69951
11.11.2015;15.695;86.469;87.31;90.468;72.987;93.16;123.589996;34.812155;13.663395;9.232373;627.386919
11.10.2015;15.92;87.372;88.52;92.115;74.257;93.92;122.220001;34.86102;13.711237;9.337511;632.233769
11.9.2015;16.245;87.537;88.13;91.876;74.968;93.35;122.919998;34.939208;13.893033;9.475504;633.333743
11.6.2015;16.16;87.1;89.05;90.947;73.944;93.76;124.860001;34.636237;13.940873;9.396651;633.794762
11.5.2015;16.5;90.265;90.45;91.972;75.641;94.91;123.559998;34.61669;14.017419;9.370367;641.302474
11.4.2015;16.055;90.168;89.49;88.859;74.029;95.22;123.389999;34.968526;14.170511;9.626639;635.976675
11.3.2015;15.845;88.342;89.39;88.543;73.612;98.1;123.300003;34.76329;14.113101;9.784345;635.792739
11.2.2015;16.15;87.605;87.02;89.616;75.176;108.41;122.620003;34.118258;14.170511;9.620068;644.50584
10.30.2015;16.285;86.741;86.54;90.372;75.612;110.07;123.239998;33.961887;14.093964;9.567499;646.483348
10.29.2015;16.025;83.226;85.82;89.415;74.864;106.75;126.360001;34.421229;14.323602;9.672637;640.877469
10.28.2015;15.975;79.071;84.51;89.395;74.465;105.87;124.830002;34.176899;14.103533;10.126041;632.522475
10.27.2015;15.97;79.023;87.17;89.041;74.788;106.8;125.330002;34.86102;14.851807;10.086615;637.921444
10.26.2015;15.89;79.12;85.48;88.476;74.039;102.7;125.739998;35.134672;14.842335;10.099757;631.521762
10.23.2015;15.64;79.45;86.88;88.984;74.304;104.5;125.230003;34.61669;14.757088;10.014333;634.376114
10.22.2015;16.23;80.304;86.44;89.347;74.617;105.19;123.699997;34.61669;14.596067;9.988049;635.028803
10.21.2015;15.845;78.799;84.08;86.532;72.095;101.38;122.209999;32.72069;14.567652;10.474309;618.70365
10.20.2015;15.42;76.615;81.08;84.281;69.887;98.06;123.550003;32.486135;14.548708;10.822576;606.750422
10.19.2015;15.14;75.761;80.75;83.591;68.569;96.4;123.959999;32.398176;14.472933;10.658299;601.700407
10.16.2015;15.135;75.819;80.79;83.984;69.033;96.87;122.440002;32.564319;14.416103;10.72401;601.775434
10.15.2015;14.885;75.285;80.75;83.074;68.616;98.25;120.050003;32.574094;14.217195;10.388885;598.090177
10.14.2015;15.15;76.246;82;83.333;69.109;100.4;121.07;32.378629;14.150892;10.329745;604.167266
